rowid,mapURL
117,https://www.google.com/maps/search/?api=1&query=COS%20CAF%C3%89&query_place_id=ChIJ9V7A7xIvdTERPTfqvTpVhDY
118,https://www.google.com/maps/search/?api=1&query=C%C3%B4%20Ba%20X%E1%BB%A9%20Qu%E1%BA%A3ng&query_place_id=ChIJA6XWEEYvdTERlHjEH5tcxTM
119,https://www.google.com/maps/search/?api=1&query=Stoker%20Woodfired%20Grill%20%26%20Bar&query_place_id=ChIJkf7CY0YvdTER6Dr64Ni3r5k
120,https://www.google.com/maps/search/?api=1&query=Foodcourt%20Vincom%20%C4%90%E1%BB%93ng%20kh%E1%BB%9Fi%2C%20B3%20floor&query_place_id=ChIJoUO-Xa4vdTERWiW35tNzdpc
121,https://www.google.com/maps/search/?api=1&query=Bo%20Ne%20300&query_place_id=ChIJoY0aRwAvdTER4I8MAE5kYRk
122,https://www.google.com/maps/search/?api=1&query=Hau%20N%C6%B0%E1%BB%9Bng%20Ng%C5%A9%20V%E1%BB%8B&query_place_id=ChIJ3aI1c94tdTERu6N5XJWZGaE
123,https://www.google.com/maps/search/?api=1&query=Cork%20and%20Bottle%20-%20S%C3%A0i%20G%C3%B2n&query_place_id=ChIJY-lGQEkvdTERV9cwz_Xb4W8
124,https://www.google.com/maps/search/?api=1&query=4%20Chu%20M%E1%BA%A1nh%20Trinh%20Qu%E1%BA%ADn%201%20TP.%20HCM&query_place_id=ChIJZWIIKz8vdTERxgIpg63zrnA
125,https://www.google.com/maps/search/?api=1&query=Ph%C6%B0%C6%A1ng%20H%C3%A0%20Shop&query_place_id=ChIJ6XYXFkEvdTERXRCVKP72hdo
126,https://www.google.com/maps/search/?api=1&query=Food%20Trucks%20at%20Nexus%20Square&query_place_id=ChIJ585ItO0vdTERx3XbO3QjJXc
127,https://www.google.com/maps/search/?api=1&query=H%C3%A4agen-Dazs&query_place_id=ChIJc-XqJUkvdTERE15_6wHOGx4
128,https://www.google.com/maps/search/?api=1&query=UR%20Mart&query_place_id=ChIJ87vssmUvdTERTqaxYuujemE
129,https://www.google.com/maps/search/?api=1&query=7-Eleven%20-%20The%20Tresor%2C%20T%C3%B2a%20TS1%20-%20Qu%E1%BA%ADn%204&query_place_id=ChIJ192FtRMvdTERyY0jeYPoytM
130,https://www.google.com/maps/search/?api=1&query=MEKONG%20GOURMET%20MARKET&query_place_id=ChIJ7ff6-7UvdTERJBYUs-x5okw
131,https://www.google.com/maps/search/?api=1&query=Si%C3%AAu%20th%E1%BB%8B%20B%C3%A1ch%20ho%C3%A1%20XANH&query_place_id=ChIJX8ZKEpAvdTERTgOVd960gCY
132,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20Bia%20t%C6%B0%C6%A1i%20140A&query_place_id=ChIJu6xEQ4EvdTERH4D2ap760f8
133,https://www.google.com/maps/search/?api=1&query=tacos%20t%C3%BD%20t%E1%BA%B9o&query_place_id=ChIJHQGzgXgvdTERqCNcJAsfJEk
134,https://www.google.com/maps/search/?api=1&query=NG%E1%BB%8CC%20PH%C3%81T%20COFFEE&query_place_id=ChIJM-xu1u4vdTERQ0KUrre-fhY
135,https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20Ty%20Tnhh%20Nh%C3%A0%20H%C3%A0ng%20L%C3%A0ng%20Vi%E1%BB%87t&query_place_id=ChIJPVNDXzUvdTERo2FUmtmHfKQ
136,https://www.google.com/maps/search/?api=1&query=Satrafoods%20%C4%90inh%20Ti%C3%AAn%20Ho%C3%A0ng&query_place_id=ChIJ-U3yGssodTERX2qF1HVlFN8
137,https://www.google.com/maps/search/?api=1&query=Every%20Half%20Coffee%20Roasters%20-%20Thi%20S%C3%A1ch&query_place_id=ChIJr09jf4cvdTERYHknx6GgAOk
138,https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20B%C3%B2%20N%E1%BB%A9c%20N%E1%BB%9F&query_place_id=ChIJB3u9EAAvdTERKh2lw5I7AIU
139,https://www.google.com/maps/search/?api=1&query=Sweet%20Coffee%20House&query_place_id=ChIJEzbYV0kvdTERvcl6AAGPeI4
140,https://www.google.com/maps/search/?api=1&query=Canh%20b%C3%BAn%20M%E1%BA%A1c%20%C4%90%C4%A9nh%20Chi&query_place_id=ChIJt3rbJwAvdTERkYIXY97lL28
141,https://www.google.com/maps/search/?api=1&query=YAKITORI%20KUWA&query_place_id=ChIJoy5GaAAvdTERW8BWtRUm73w
142,https://www.google.com/maps/search/?api=1&query=Ozawa%20Maria%20bar&query_place_id=ChIJE52JtkgvdTERuYSwOr2TbgE
143,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20%E1%BA%A8m%20th%E1%BB%B1c%20Vi%E1%BB%87t&query_place_id=ChIJrdkDJ8sodTERLfXMS7xD-cY
144,https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20ri%C3%AAu%20canh%20b%C3%BAn%20C%C3%B4%20H%E1%BA%A3o&query_place_id=ChIJPSC0GAAvdTERGc481YOvyys
145,https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20Tr%C3%A1ng%20Ho%C3%A0ng%20B%C3%A8o%20Qu%E1%BA%ADn%201&query_place_id=ChIJcwIWbOYvdTERQO0pYvWVBDQ
146,https://www.google.com/maps/search/?api=1&query=1B%20Garden%20Seafood%20Restauran&query_place_id=ChIJWRmeFWgvdTERxAb1yJblZLM
147,https://www.google.com/maps/search/?api=1&query=Dntn%20Nh%C3%A0%20H%C3%A0ng%20H%E1%BA%A3i%20Ng%C6%B0%20-%20Nh%C3%A0%20H%C3%A0ng%20Totoya&query_place_id=ChIJ2-b1LkkvdTER0V31zm_LbKw
148,https://www.google.com/maps/search/?api=1&query=Mario%20Cafe&query_place_id=ChIJ4ToeECwvdTERpvcc9Np2nSo
149,https://www.google.com/maps/search/?api=1&query=C%E1%BB%A5c%20%C4%90%E1%BA%A5t%20Coffee%20%26%20Lounge&query_place_id=ChIJbzhqTC0vdTERippJFb1AE7Q
150,https://www.google.com/maps/search/?api=1&query=NGON%20NHAT%20HA%20NOI&query_place_id=ChIJxYy5RkkvdTERaBY7j9C2SK4
151,https://www.google.com/maps/search/?api=1&query=Every%20Half%20Coffee%20Roasters%20-%20Ng%C3%B4%20V%C4%83n%20N%C4%83m&query_place_id=ChIJiYCxJawvdTERPJqmvJoS250
